S no,AICTE Id,Institute Name,State,District,Institute Type,Program,University/Board,Level,Name of the Course,Approved Intake,Seats for NRI Quota
1,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,180,9
2,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,ELECTRONICS COMMUNICATION ENGG,180,9
3,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,6
4,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,MECHANICAL ENGINEERING,120,6
5,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,CIVIL ENGINEERING,120,6
6,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE AND TECHNOLOGY,60,3
7,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,3
8,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,60,3
9,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE ENGINEERING DATA SCIENCE,60,3
10,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),MANAGEMENT,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MBA,240,12
11,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),COMPUTER APPLICATIONS,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MASTER OF COMPUTER APPLICATIONS,60,3
12,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,PHARMACY,100,5
13,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PLANNING,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,ARCHITECTURE,80,4
14,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,1020,51
15,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,BIOTECHNOLOGY,60,3
16,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,CIVIL ENGINEERING,30,2
17,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,180,9
18,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2
19,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,MECHANICAL ENGINEERING,60,3
20,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,FOOD PROCESSING TECHNOLOGY,12,1
21,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,CYBER FORENSICS AND INFORMATION SECURITY,12,1
22,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,DATA SCIENCE,18,1
23,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,STRUCTURAL ENGINEERING,12,1
24,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MACHINE DESIGN,12,1
25,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,VLSI DESIGN,12,1
26,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,POWER SYSTEM AND AUTOMATION,6,0
27,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PLANNING,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,SUSTAINABLE ARCHITECTURE,20,1
28,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACEUTICS,15,1
29,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACEUTICAL ANALYSIS,15,1
30,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACOLOGY,12,1
31,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACEUTICAL CHEMISTRY,15,1
32,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),MANAGEMENT,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MBAINTERNATIONAL BUSINESS,60,3
33,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,3
34,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,12,1
35,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MANUFACTURING TECHNOLOGY AUTOMATION,12,1
36,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),MANAGEMENT,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MBABUSINESS ANALYTICS,30,2
37,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),MANAGEMENT,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MBAHEALTH CARE AND HOSPITAL MANAGEMENT,30,2
38,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACEUTICAL QUALITY ASSURANCE,9,0
39,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERINGARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,180,9
40,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING IOT,60,3
41,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY,120,6
42,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE,120,6
43,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,CHEMICAL ENGINEERING,60,3
44,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,CIVIL ENGINEERING,120,6
45,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,240,12
46,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,120,6
47,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS COMMUNICATION ENGG,240,12
48,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,INFORMATION TECHNOLOGY,60,3
49,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,6
50,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,1
51,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,INFRASTRUCTURE ENGINEERING AND MANAGEMENT,18,1
52,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,STRUCTURAL ENGINEERING,18,1
53,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,COMPUTER APPLICATIONS,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,MASTERS IN COMPUTER APPLICATIONS,60,3
54,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,CAD CAM,18,1
55,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,POWER SYSTEM AND CONTROL AUTOMATION,18,1
56,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,VLSI DESIGN AND EMBEDDED SYSTEMS,18,1
57,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,COMMUNICATION ENGINEERING AND SIGNAL PROCESSING,18,1
58,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,POWER ELECTRONICS AND DRIVES,18,1
59,1-9322625846,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,Andhra Pradesh,VISHAKHAPATNAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",POST GRADUATE,THERMAL ENGINEERING,18,1
60,1-9317843310,JNTUA SCHOOL OF MANAGEMENT STUDIES,Andhra Pradesh,ANANTAPUR,Government,MANAGEMENT,"Jawaharlal Nehru Technological University, Anantapur",POST GRADUATE,MBAFIN TECH,60,3
61,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,COMPUTER SCIENCE ENGINEERING,1920,96
62,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,ELECTRONICS COMMUNICATION ENGG,360,18
63,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,3
64,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,MECHANICAL ENGINEERING,120,6
65,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,CIVIL ENGINEERING,60,3
66,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,BIOTECHNOLOGY,120,6
67,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,BIOTECHNOLOGY,18,1
68,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,STRUCTURAL ENGINEERING,42,2
69,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,CONSTRUCTION TECHNOLOGY AND MANAGEMENT,30,2
70,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,COMPUTER SCIENCE ENGINEERING,36,2
71,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING DIGITAL FORENSIC CYBERSECURITY,36,2
72,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,VLSI,18,1
73,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,RADAR COMMUNICATION,18,1
74,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,POWER ELECTRONICS AND DRIVES,18,1
75,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,POWER SYSTEMS,18,1
76,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,THERMAL ENGINEERING,18,1
77,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),PLANNING,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,ARCHITECTURE,40,2
78,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),PHARMACY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,PHARMACY,100,5
79,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),MANAGEMENT,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,MBA,300,15
80,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,MACHINE DESIGN,18,1
81,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),DESIGN,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,DESIGN,30,2
82,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,180,9
83,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,120,6
84,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),PHARMACY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,PHARM.D.,30,2
85,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),PHARMACY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,MASTERS OF PHARMACY MANAGEMENT,15,1
86,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,GEOTECHNICAL ENGINEERING,18,1
87,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),COMPUTER APPLICATIONS,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,MASTER OF COMPUTER APPLICATIONS,60,3
88,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,ELECTRONICS AND COMPUTER SCIENCE,60,3
89,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",UNDER GRADUATE,INTERNET OF THINGS,60,3
90,1-9318091589,KONERU LAKSHMAIAH EDUCATION FOUNDATION,Andhra Pradesh,GUNTUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Koneru Lakshmaiah Education Foundation, Guntur Distt.",POST GRADUATE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,18,1
